County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Alzheimer's Disease/Dementia Prevalence (%),Arthritis Prevalence (%),Asthma Prevalence (%),Atrial Fibrillation Prevalence (%),Autism Spectrum Disorders Prevalence (%),COPD Prevalence (%),Cancer Prevalence (%),Chronic Kidney Disease Prevalence (%),Depression  Prevalence (%),Diabetes Prevalence (%),HIV/AIDS Prevalence (%),Heart Failure Prevalence (%),Hepatitis (Chronic Viral B & C) Prevalence (%),Hyperlipidemia Prevalence (%),Hypertension Prevalence (%),Ischemic Heart Disease Prevalence (%),Osteoporosis Prevalence (%),Schizophrenia/Other Psychotic Disorders Prevalence (%),Stroke Prevalence (%)
State Total,.2007,200753000,2007,.,9.2,20.4,3.5,7.8,0.1,8.6,7.1,10.1,11.7,21.0,0.3,13.7,0.8,32.7,42.4,21.8,4.9,3.0,3.2
Adams,53001 2007,200753001,2007,53001,10.4,22.7,3.2,7.7,0.0,9.9,6.1,10.8,11.1,28.5,,16.4,,33.8,46.4,26.9,3.0,1.8,3.0
Asotin,53003 2007,200753003,2007,53003,11.0,25.1,3.8,8.1,0.0,10.6,8.9,9.8,10.4,23.3,,16.1,0.4,37.7,44.1,27.5,5.4,2.3,3.3
Benton,53005 2007,200753005,2007,53005,10.6,22.9,4.2,6.9,,10.2,8.0,9.5,11.5,25.1,0.1,13.3,0.6,42.1,47.1,27.0,5.8,2.4,4.4
Chelan,53007 2007,200753007,2007,53007,9.4,21.0,2.9,8.7,,8.2,7.7,9.2,13.4,19.7,0.1,11.7,0.6,33.5,42.1,19.4,4.3,2.1,3.1
Clallam,53009 2007,200753009,2007,53009,7.6,24.4,3.5,8.1,,8.3,7.0,6.4,9.2,19.3,0.1,12.5,0.7,32.3,40.4,21.5,5.5,2.3,3.0
Clark,53011 2007,200753011,2007,53011,9.3,16.6,3.9,7.5,0.1,8.6,6.3,10.6,12.8,21.2,0.2,13.8,0.7,28.4,39.7,20.0,3.6,3.5,3.3
Columbia,53013 2007,200753013,2007,53013,8.3,19.8,4.1,5.6,0.0,11.9,7.9,9.1,12.3,23.0,,16.0,0.0,32.6,42.5,27.1,3.5,4.1,2.7
Cowlitz,53015 2007,200753015,2007,53015,9.1,20.6,4.6,8.4,,12.4,6.2,11.6,14.1,22.8,0.3,16.7,0.6,31.9,43.5,22.6,4.5,4.1,3.3
Douglas,53017 2007,200753017,2007,53017,9.9,23.4,2.8,8.6,0.0,8.9,7.9,10.0,13.1,20.5,,12.9,0.4,36.7,42.8,21.6,4.3,2.1,3.6
Ferry,53019 2007,200753019,2007,53019,4.9,15.2,2.7,5.2,0.0,11.8,5.3,6.3,7,17.4,,12.2,,20.7,28.1,22.0,3.6,1.9,2.1
